venda_id,data_venda,cliente_id,produto_id,quantidade,preco_total
50118,2023-11-24 17:53:00,1060,232,3,398.46
50119,2023-09-04 12:39:00,1799,299,3,994.56
50120,2023-07-11 19:10:00,1908,237,4,685.8
50121,2023-05-20 00:38:00,1294,208,2,167.52
50122,2023-03-03 22:26:00,1664,264,5,1828.05
50123,2023-03-22 10:10:00,1149,219,1,337.67
50124,2023-05-19 18:38:00,1220,175,4,3994.36
50125,2023-10-17 15:05:00,1715,179,1,606.55
50126,2023-05-14 04:14:00,1019,139,2,973.18
50127,2023-02-20 23:08:00,1906,220,1,481.72
50128,2023-04-11 07:36:00,1309,266,2,221.64
50129,2023-12-09 21:37:00,1825,206,1,362.52
50130,2023-02-07 02:02:00,1307,259,2,1884.66
50131,2023-01-11 02:28:00,1356,291,5,2081.35
50132,2023-06-07 06:33:00,1692,280,3,2627.1
50133,2023-07-17 15:35:00,1606,238,5,468.15
50134,2023-12-06 08:03:00,1840,257,5,3007.05
50135,2023-09-26 05:36:00,1701,200,5,3388.65
50136,2023-12-13 22:53:00,1623,143,4,1781.56
50137,2023-04-08 16:10:00,1351,204,1,230.16
50138,2023-08-30 16:25:00,1023,228,3,2117.43
50139,2023-07-09 19:26:00,1028,240,3,1892.28
50140,2023-08-18 23:48:00,1230,127,5,927.15
50141,2023-05-25 05:13:00,1665,245,3,2363.79
50142,2023-09-30 02:27:00,1853,211,4,2620.88
50143,2023-02-05 00:34:00,1406,233,5,4812.4
50144,2023-05-09 21:33:00,1052,199,3,107.25
50145,2023-01-21 18:37:00,1485,191,2,1032.42
50146,2023-12-07 05:17:00,1625,237,1,171.45
50147,2023-04-30 22:50:00,1106,164,1,17.71
50148,2023-03-09 16:08:00,1555,220,2,963.44
50149,2023-09-04 18:54:00,1155,163,3,379.74
50150,2023-12-27 18:50:00,1358,145,1,200.32
50151,2023-07-16 14:25:00,1383,222,5,3113.15
50152,2023-08-02 15:30:00,1075,122,5,1675.85
50153,2023-07-01 20:33:00,1373,210,2,1502.32
50154,2023-01-29 20:10:00,1982,250,5,2123.35
50155,2023-12-21 20:37:00,1766,211,2,1310.44
50156,2023-09-23 21:45:00,1029,112,5,2463.7
50157,2023-01-04 07:19:00,1085,170,5,2819.8
50158,2023-04-08 14:27:00,1447,107,3,1160.97
50159,2023-02-02 08:05:00,1623,146,4,2246.96
50160,2023-08-24 20:30:00,1862,228,3,2117.43
50161,2023-10-19 20:25:00,1699,105,3,1352.07
50162,2023-10-30 21:50:00,1235,259,5,4711.65
50163,2023-11-29 22:45:00,1052,133,1,504.14
50164,2023-03-19 11:31:00,1603,291,5,2081.35
50165,2023-11-07 16:14:00,1708,145,1,200.32
50166,2023-05-16 14:57:00,1322,140,1,173.13
50167,2023-05-06 00:15:00,1911,110,1,649.75
50168,2023-08-18 12:54:00,1232,253,1,495.13
50169,2023-05-21 12:57:00,1244,122,4,1340.68
50170,2023-11-30 02:42:00,1805,168,5,4443.15
50171,2023-12-18 20:50:00,1364,281,5,2444.0
50172,2023-03-02 01:52:00,1072,262,2,1221.28
50173,2023-11-25 19:45:00,1998,188,2,1635.62
50174,2023-10-26 03:28:00,1643,220,1,481.72
50175,2023-07-23 19:34:00,1205,232,4,531.28
50176,2023-01-14 15:58:00,1255,103,1,569.97
50177,2023-07-05 00:20:00,1458,295,1,754.19
50178,2023-09-10 15:18:00,1631,188,5,4089.05
50179,2023-07-21 21:15:00,1054,150,2,482.02
50180,2023-04-25 19:38:00,1242,174,3,1619.76
50181,2023-05-14 03:10:00,1664,261,3,2044.89
50182,2023-04-22 04:40:00,1390,279,1,178.61
50183,2023-07-01 11:58:00,1044,131,3,404.31
50184,2023-03-28 17:01:00,1708,184,5,3337.9
50185,2023-12-11 21:37:00,1092,294,2,785.14
50186,2023-11-01 21:53:00,1097,198,1,165.37
50187,2023-11-03 16:39:00,1433,148,3,1411.47
50188,2023-05-11 20:15:00,1872,275,2,1308.36
50189,2023-10-19 03:32:00,1820,129,3,582.27
50190,2023-01-03 15:26:00,1558,132,2,387.36
50191,2023-07-20 04:00:00,1772,230,1,489.3
50192,2023-04-26 19:57:00,1880,141,1,766.94
50193,2023-10-25 06:33:00,1702,286,5,3747.95
50194,2023-03-10 10:21:00,1440,164,2,35.42
50195,2023-11-16 06:29:00,1592,226,4,2903.36
50196,2023-07-20 10:51:00,1267,103,1,569.97
50197,2023-09-23 06:47:00,1564,245,5,3939.65
50198,2023-02-14 16:35:00,1028,231,2,1553.52
50199,2023-01-16 05:40:00,1352,265,5,3603.3
50200,2023-12-13 17:17:00,1702,105,1,450.69
50201,2023-11-06 23:14:00,1566,115,5,815.1
50202,2023-11-12 11:30:00,1656,214,5,64.15
50203,2023-02-16 12:02:00,1302,135,1,251.45
50204,2023-10-26 16:22:00,1087,275,2,1308.36
50205,2023-04-06 19:20:00,1262,173,1,570.43
50206,2023-08-30 02:33:00,1591,104,5,852.6
50207,2023-05-26 11:02:00,1194,142,3,708.93
50208,2023-05-14 09:58:00,1213,237,2,342.9
50209,2023-01-04 21:14:00,1314,247,5,2619.3
50210,2023-12-31 02:40:00,1606,153,1,75.76
50211,2023-01-18 15:34:00,1247,262,2,1221.28
50212,2023-11-22 16:44:00,1678,209,5,1602.6
50213,2023-01-05 11:50:00,1687,238,3,280.89
50214,2023-12-03 22:31:00,1428,230,1,489.3
50215,2023-11-30 11:08:00,1537,102,5,1649.0
50216,2023-02-28 03:28:00,1125,160,5,1126.5
50217,2023-10-03 00:13:00,1258,293,4,3062.2
50218,2023-03-20 03:45:00,1070,134,4,99.56
50219,2023-10-16 17:30:00,1249,181,3,1737.36
50220,2023-07-14 22:53:00,1081,215,4,929.48
50221,2023-02-19 18:37:00,1532,260,1,821.52
50222,2023-02-06 13:28:00,1860,185,4,2288.32
50223,2023-12-02 15:43:00,1054,166,1,520.22
50224,2023-04-19 03:12:00,1584,205,1,922.8
50225,2023-10-05 15:15:00,1949,203,2,237.1
50226,2023-06-29 19:18:00,1667,135,4,1005.8
50227,2023-10-26 20:56:00,1786,152,1,160.42
50228,2023-10-21 16:27:00,1244,284,3,537.42
50229,2023-03-24 12:33:00,1689,281,2,977.6
50230,2023-07-20 21:24:00,1955,224,5,1828.8
50231,2023-05-24 08:09:00,1990,199,3,107.25
50232,2023-08-14 01:24:00,1499,197,4,2476.08
50233,2023-08-01 10:13:00,1645,297,5,2943.8
50234,2023-09-25 20:05:00,1215,295,2,1508.38
50235,2023-10-28 00:31:00,1055,219,3,1013.01
50236,2023-12-13 13:12:00,1606,268,4,757.72
50237,2023-05-09 01:40:00,1248,284,3,537.42
50238,2023-11-11 10:20:00,1440,294,4,1570.28
50239,2023-02-08 12:26:00,1751,243,2,257.88
50240,2023-07-26 13:52:00,1356,228,1,705.81
50241,2023-05-11 08:16:00,1073,112,3,1478.22
50242,2023-12-13 18:19:00,1820,119,1,275.29
50243,2023-06-29 10:10:00,1110,116,1,259.67
50244,2023-02-05 04:37:00,1345,113,5,615.45
50245,2023-09-12 10:57:00,1390,291,5,2081.35
50246,2023-02-19 10:01:00,1234,294,1,392.57
50247,2023-07-28 01:51:00,1296,126,5,2255.55
50248,2023-03-08 01:59:00,1127,212,1,499.55
50249,2023-11-04 15:55:00,1899,170,5,2819.8
50250,2023-08-05 07:42:00,1671,147,2,1863.3
50251,2023-04-11 05:48:00,1772,104,5,852.6
50252,2023-05-25 08:55:00,1569,269,2,1878.52
50253,2023-07-04 14:36:00,1323,145,2,400.64
50254,2023-12-26 07:29:00,1148,235,4,2240.36
50255,2023-01-15 12:26:00,1821,188,3,2453.43
50256,2023-12-12 12:38:00,1137,160,3,675.9
50257,2023-04-21 14:06:00,1102,168,3,2665.89
50258,2023-11-05 05:23:00,1017,112,2,985.48
50259,2023-11-06 11:46:00,1535,191,1,516.21
50260,2023-09-13 06:43:00,1529,107,2,773.98
50261,2023-08-18 10:26:00,1468,203,3,355.65
50262,2023-05-30 18:08:00,1779,194,1,971.74
50263,2023-03-08 02:55:00,1014,268,3,568.29
50264,2023-03-04 00:27:00,1861,241,5,4596.15
50265,2023-03-27 03:42:00,1622,147,3,2794.95
50266,2023-08-11 06:57:00,1595,232,3,398.46
50267,2023-05-02 19:25:00,1538,223,3,2451.15
50268,2023-09-06 16:41:00,2000,159,2,1919.0
50269,2023-03-18 01:49:00,1566,127,1,185.43
50270,2023-01-04 09:34:00,1025,135,3,754.35
50271,2023-01-28 23:37:00,1586,271,3,358.23
50272,2023-03-11 14:51:00,1537,126,3,1353.33
50273,2023-02-23 22:57:00,1998,126,5,2255.55
50274,2023-01-02 00:36:00,1484,220,1,481.72
50275,2023-08-23 14:18:00,1797,113,3,369.27
50276,2023-05-25 07:36:00,1514,182,2,523.88
50277,2023-07-30 05:29:00,1861,255,2,1317.76
50278,2023-04-19 01:53:00,1385,264,4,1462.44
50279,2023-07-12 06:53:00,1248,165,3,459.09
50280,2023-02-13 17:15:00,1539,151,1,615.24
50281,2023-08-16 21:25:00,1353,149,3,2883.48
50282,2023-08-05 01:07:00,1390,166,3,1560.66
50283,2023-02-07 07:03:00,1699,267,2,1019.66
50284,2023-12-21 15:21:00,1904,138,5,754.85
50285,2023-11-07 02:34:00,1125,124,3,2875.11
50286,2023-10-13 21:20:00,1441,180,4,3513.28
50287,2023-04-07 04:17:00,1898,131,1,134.77
50288,2023-09-17 15:06:00,1713,184,2,1335.16
50289,2023-04-30 20:32:00,1410,212,3,1498.65
50290,2023-05-31 12:13:00,1226,154,3,2711.46
50291,2023-03-05 04:26:00,1671,125,5,1916.4
50292,2023-10-03 19:12:00,1534,257,2,1202.82
50293,2023-05-29 05:42:00,1599,216,2,481.0
50294,2023-08-09 23:23:00,1718,159,2,1919.0
50295,2023-03-01 10:02:00,1644,145,3,600.96
50296,2023-11-05 16:14:00,1330,230,5,2446.5
50297,2023-11-18 06:12:00,1210,135,4,1005.8
50298,2023-08-01 21:33:00,1101,162,1,220.73
50299,2023-01-27 16:48:00,1323,299,3,994.56
50300,2023-08-15 07:34:00,1487,297,5,2943.8
50301,2023-10-24 14:48:00,1421,189,5,3845.9
50302,2023-01-13 08:03:00,1425,237,2,342.9
50303,2023-04-10 17:08:00,1698,132,4,774.72
50304,2023-06-18 13:36:00,1487,191,2,1032.42
50305,2023-11-21 12:35:00,1932,284,1,179.14
50306,2023-01-21 14:23:00,1388,195,1,567.38
50307,2023-07-08 12:18:00,1606,243,3,386.82
50308,2023-04-28 02:05:00,1891,176,3,234.18
50309,2023-08-25 13:22:00,1282,234,2,986.82
50310,2023-01-30 22:03:00,1390,228,2,1411.62
50311,2023-07-14 01:24:00,1121,163,5,632.9
50312,2023-09-23 18:22:00,1194,249,2,959.18
50313,2023-12-07 14:38:00,1123,243,2,257.88
50314,2023-08-04 20:11:00,1684,282,5,1505.05
50315,2023-09-30 22:50:00,1911,229,5,519.1
50316,2023-07-12 05:24:00,1458,254,2,216.98
50317,2023-10-21 13:28:00,1055,199,2,71.5
50318,2023-10-04 12:04:00,1899,123,4,1736.12
50319,2023-05-17 12:41:00,1186,288,1,974.68
50320,2023-05-18 20:43:00,1741,120,1,958.52
50321,2023-05-08 09:10:00,1286,125,2,766.56
50322,2023-08-10 16:24:00,1584,281,1,488.8
50323,2023-05-04 02:02:00,1022,139,2,973.18
50324,2023-07-14 05:32:00,1796,288,3,2924.04
50325,2023-08-10 05:09:00,1867,221,4,3952.72
50326,2023-05-23 03:10:00,1284,267,4,2039.32
50327,2023-10-12 15:30:00,1029,256,2,1683.2
50328,2023-09-28 12:28:00,1537,180,2,1756.64
50329,2023-12-20 13:49:00,1092,258,4,181.24
50330,2023-10-02 03:50:00,1625,254,3,325.47
50331,2023-10-31 00:21:00,1500,294,3,1177.71
50332,2023-12-15 09:32:00,1362,215,5,1161.85
50333,2023-09-29 05:26:00,1820,200,2,1355.46
50334,2023-05-05 06:59:00,1017,183,1,14.92
50335,2023-05-17 07:10:00,1070,193,1,816.63
50336,2023-01-22 12:39:00,1504,171,2,1703.7
50337,2023-05-13 13:54:00,1141,125,1,383.28
50338,2023-04-21 09:15:00,1901,230,3,1467.9
50339,2023-09-30 06:34:00,1904,217,1,87.31
50340,2023-12-16 18:18:00,1487,203,4,474.2
50341,2023-07-01 13:35:00,1070,270,5,2949.75
50342,2023-05-18 10:23:00,1544,245,4,3151.72
50343,2023-05-17 02:51:00,1423,163,2,253.16
50344,2023-12-12 04:38:00,1379,242,2,1226.82
50345,2023-02-27 12:16:00,1102,126,3,1353.33
50346,2023-05-31 13:35:00,1055,286,2,1499.18
50347,2023-05-29 09:30:00,1485,296,3,2228.7
50348,2023-01-11 18:52:00,1612,271,2,238.82
50349,2023-10-23 18:51:00,1476,118,2,51.48
50350,2023-09-12 17:20:00,1105,129,4,776.36
50351,2023-05-04 21:03:00,1077,216,4,962.0
50352,2023-10-01 00:15:00,1703,154,4,3615.28
50353,2023-04-03 16:04:00,1832,212,2,999.1
50354,2023-04-30 16:17:00,1035,278,2,1884.2
50355,2023-02-06 06:55:00,1034,107,5,1934.95
50356,2023-11-27 20:10:00,1877,130,4,1799.2
50357,2023-07-28 06:31:00,1072,158,3,2739.66
50358,2023-08-01 18:34:00,1584,123,4,1736.12
50359,2023-03-30 23:06:00,1701,268,5,947.15
50360,2023-02-26 02:21:00,1645,193,3,2449.89
50361,2023-11-14 00:33:00,1118,291,5,2081.35
50362,2023-06-10 17:06:00,1765,255,5,3294.4
50363,2023-04-17 15:49:00,1556,108,1,891.56
50364,2023-12-14 10:08:00,1351,229,4,415.28
50365,2023-02-28 07:45:00,1194,147,5,4658.25
50366,2023-01-30 05:41:00,1625,177,1,51.54
50367,2023-04-05 15:54:00,1330,191,4,2064.84
50368,2023-02-02 12:11:00,1004,253,2,990.26
50369,2023-08-08 07:54:00,1055,241,3,2757.69
50370,2023-12-23 04:44:00,1886,175,5,4992.95
50371,2023-09-11 20:29:00,1134,253,4,1980.52
50372,2023-08-12 16:40:00,1443,108,2,1783.12
50373,2023-06-26 01:10:00,1430,159,5,4797.5
50374,2023-01-09 13:31:00,1932,241,1,919.23
50375,2023-05-01 22:23:00,1427,219,4,1350.68
50376,2023-10-28 02:20:00,1772,222,4,2490.52
50377,2023-09-14 12:53:00,1337,216,2,481.0
50378,2023-04-12 06:28:00,1525,250,5,2123.35
50379,2023-06-27 16:58:00,1908,229,2,207.64
50380,2023-03-30 03:08:00,1678,180,1,878.32
50381,2023-01-31 18:00:00,1717,299,1,331.52
50382,2023-01-09 22:50:00,2001,185,3,1716.24
50383,2023-08-30 13:27:00,1356,235,3,1680.27
50384,2023-02-04 23:42:00,1678,148,2,940.98
50385,2023-04-04 09:47:00,1420,240,4,2523.04
50386,2023-04-14 01:20:00,1246,165,1,153.03
50387,2023-03-04 09:19:00,1086,168,2,1777.26
50388,2023-01-05 21:18:00,1383,280,5,4378.5
50389,2023-01-10 01:20:00,1521,278,4,3768.4
50390,2023-06-21 07:38:00,1052,294,5,1962.85
50391,2023-02-09 04:54:00,1260,236,5,4674.8
50392,2023-02-17 22:13:00,1080,197,3,1857.06
50393,2023-03-23 03:15:00,1753,232,5,664.1
50394,2023-08-04 09:20:00,1358,121,2,748.0
50395,2023-12-03 22:43:00,1843,160,5,1126.5
50396,2023-01-20 12:55:00,1794,141,5,3834.7
50397,2023-01-22 03:47:00,1827,220,1,481.72
50398,2023-02-20 03:39:00,1064,286,3,2248.77
50399,2023-03-12 07:34:00,1178,214,4,51.32
50400,2023-07-12 18:59:00,1582,227,3,2933.01
50401,2023-04-08 11:10:00,1351,192,1,345.66
50402,2023-06-01 09:44:00,1314,190,4,3974.44
50403,2023-10-25 07:04:00,1339,180,3,2634.96
50404,2023-03-20 17:09:00,1830,255,5,3294.4
50405,2023-06-26 01:57:00,1498,295,4,3016.76
50406,2023-05-25 17:16:00,1313,260,3,2464.56
50407,2023-07-09 15:07:00,1667,261,3,2044.89
50408,2023-03-29 23:38:00,1590,216,3,721.5
50409,2023-05-27 06:16:00,1698,158,3,2739.66
50410,2023-09-18 18:40:00,1819,266,1,110.82
50411,2023-10-04 17:02:00,1976,251,5,4104.95
50412,2023-03-25 19:17:00,1936,285,2,1932.14
50413,2023-09-03 15:51:00,1787,152,4,641.68
50414,2023-03-29 11:04:00,1020,206,1,362.52
50415,2023-10-15 04:10:00,1779,261,3,2044.89
50416,2023-01-24 13:02:00,1441,244,2,293.66
50417,2023-09-22 07:45:00,1498,224,3,1097.28
50418,2023-06-03 04:01:00,1330,116,5,1298.35
50419,2023-03-30 21:38:00,1699,238,4,374.52
50420,2023-06-29 03:03:00,1485,112,3,1478.22
50421,2023-08-27 22:51:00,1936,210,5,3755.8
50422,2023-09-12 19:15:00,1883,123,3,1302.09
50423,2023-11-10 10:42:00,1312,144,2,1131.26
50424,2023-03-12 16:43:00,1063,187,4,1127.8
50425,2023-04-11 06:40:00,1376,200,5,3388.65
50426,2023-08-21 10:37:00,1974,184,4,2670.32
50427,2023-10-26 17:53:00,1029,114,2,24.54
50428,2023-02-03 15:38:00,1488,283,2,789.28
50429,2023-07-07 05:08:00,1860,120,2,1917.04
50430,2023-05-13 12:28:00,1145,127,3,556.29
50431,2023-11-16 02:56:00,1561,280,5,4378.5
50432,2023-07-10 20:29:00,1689,249,2,959.18
50433,2023-04-30 22:22:00,1287,119,4,1101.16
50434,2023-04-17 23:38:00,1034,246,1,827.76
50435,2023-03-05 19:21:00,1688,136,5,1908.35
50436,2023-09-18 07:34:00,1487,167,2,1437.1
50437,2023-05-05 19:38:00,1221,236,3,2804.88
50438,2023-07-21 17:04:00,1824,201,2,1858.32
50439,2023-08-27 10:59:00,1821,294,4,1570.28
50440,2023-01-10 08:39:00,1397,269,4,3757.04
50441,2023-01-03 07:16:00,1220,195,2,1134.76
50442,2023-06-22 01:41:00,1191,127,2,370.86
50443,2023-01-29 01:21:00,1487,212,4,1998.2
50444,2023-06-25 20:04:00,1227,216,2,481.0
50445,2023-07-09 08:33:00,1175,141,4,3067.76
50446,2023-09-02 15:35:00,2001,247,2,1047.72
50447,2023-03-12 22:06:00,1353,222,2,1245.26
50448,2023-07-08 17:27:00,1670,207,1,645.35
50449,2023-03-21 02:16:00,1883,125,3,1149.84
50450,2023-12-02 14:47:00,1898,185,2,1144.16
50451,2023-03-22 14:22:00,1600,234,2,986.82
50452,2023-01-10 11:24:00,1863,155,3,1787.04
50453,2023-08-17 07:56:00,1824,261,2,1363.26
50454,2023-09-12 21:22:00,1821,198,4,661.48
50455,2023-09-27 16:45:00,1566,243,1,128.94
50456,2023-12-21 02:38:00,1383,195,2,1134.76
50457,2023-09-28 00:36:00,1313,182,4,1047.76
50458,2023-12-08 20:29:00,1476,251,5,4104.95
50459,2023-02-01 14:19:00,1476,261,2,1363.26
50460,2023-12-24 16:04:00,1234,163,1,126.58
50461,2023-03-24 17:09:00,1241,132,3,581.04
50462,2023-09-02 12:56:00,1288,167,1,718.55
50463,2023-08-11 12:30:00,1244,207,2,1290.7
50464,2023-11-03 21:31:00,1322,125,3,1149.84
50465,2023-06-15 13:17:00,1338,195,5,2836.9
50466,2023-10-31 04:39:00,1258,167,2,1437.1
50467,2023-05-27 01:20:00,1404,165,3,459.09
50468,2023-01-29 15:58:00,1487,182,3,785.82
50469,2023-03-31 08:29:00,1431,173,2,1140.86
50470,2023-05-11 04:20:00,1962,153,5,378.8
50471,2023-12-03 13:24:00,1741,168,4,3554.52
50472,2023-08-14 18:57:00,1688,255,5,3294.4
50473,2023-10-13 06:17:00,1240,180,1,878.32
50474,2023-11-10 11:17:00,1639,162,3,662.19
50475,2023-02-10 08:35:00,1905,135,2,502.9
50476,2023-09-25 16:37:00,1688,280,1,875.7
50477,2023-09-03 09:51:00,1221,187,1,281.95
50478,2023-01-16 02:32:00,1101,198,4,661.48
50479,2023-05-06 22:13:00,1055,120,2,1917.04
50480,2023-07-17 18:00:00,1560,243,2,257.88
50481,2023-08-07 13:04:00,1708,270,3,1769.85
50482,2023-10-06 00:01:00,1372,264,4,1462.44
50483,2023-08-15 23:43:00,1389,236,1,934.96
50484,2023-03-10 05:17:00,1551,217,4,349.24
50485,2023-02-12 04:16:00,1535,291,5,2081.35
50486,2023-08-14 16:00:00,1611,152,2,320.84
50487,2023-06-21 00:58:00,1751,273,5,2129.55
50488,2023-07-23 10:54:00,1768,186,3,1767.33
50489,2023-01-23 05:57:00,1205,298,1,561.35
50490,2023-08-02 21:47:00,1710,262,4,2442.56
50491,2023-06-11 23:24:00,1821,241,4,3676.92
50492,2023-05-15 11:08:00,1529,213,4,744.64
50493,2023-02-12 07:55:00,1962,149,2,1922.32
50494,2023-06-06 02:32:00,1327,134,1,24.89
50495,2023-02-22 04:42:00,1739,118,3,77.22
50496,2023-04-27 02:16:00,1488,242,5,3067.05
50497,2023-09-05 02:04:00,1185,202,4,480.08
50498,2023-09-12 11:26:00,1428,119,3,825.87
50499,2023-12-07 10:28:00,1175,182,5,1309.7
50500,2023-07-15 09:27:00,1884,200,5,3388.65
50501,2023-04-18 18:00:00,1335,278,1,942.1
50502,2023-04-27 11:39:00,1256,269,4,3757.04
50503,2023-08-08 15:08:00,1063,225,1,648.04
50504,2023-07-13 13:04:00,1082,286,1,749.59
50505,2023-02-03 11:33:00,1051,129,3,582.27
50506,2023-12-01 21:43:00,1708,113,1,123.09
