ip,timestamp,request,status,bytes
183.127.27.79,23/Feb/2023:14:14:27 ,DELETE /login/item-91 HTTP/1.1,200,2352
115.233.140.31,11/Aug/2023:15:12:30 ,GET /checkout/item-76 HTTP/1.1,500,5985
24.159.18.56,06/Nov/2023:14:11:31 ,PUT /busca/item-95 HTTP/1.1,201,9217
134.32.35.195,16/Mar/2023:13:11:37 ,POST /checkout/item-98 HTTP/1.1,302,10575
30.215.183.155,25/Sep/2023:08:16:33 ,GET /produtos/item-96 HTTP/1.1,500,10349
213.111.13.105,03/Dec/2023:15:01:06 ,GET /checkout/item-41 HTTP/1.1,200,2912
212.17.40.81,07/Feb/2023:18:20:25 ,DELETE /login/item-39 HTTP/1.1,500,13757
41.144.202.165,06/Sep/2023:18:02:49 ,POST /produtos/item-69 HTTP/1.1,500,8719
176.107.210.103,05/Jul/2023:02:45:19 ,POST /produtos/item-15 HTTP/1.1,404,2620
148.14.15.214,16/May/2023:19:26:53 ,DELETE /busca/item-45 HTTP/1.1,302,9604
133.81.115.18,17/Oct/2023:02:26:17 ,PUT /perfil/item-18 HTTP/1.1,500,7382
156.174.91.127,02/Jul/2023:20:11:29 ,GET /checkout/item-7 HTTP/1.1,201,406
165.143.206.220,09/Oct/2023:19:05:27 ,PUT /checkout/item-65 HTTP/1.1,201,6523
147.21.145.221,23/Dec/2023:03:45:11 ,GET /produtos/item-93 HTTP/1.1,200,1796
185.145.5.76,19/Nov/2023:18:02:44 ,DELETE /login/item-45 HTTP/1.1,404,5091
148.11.245.105,24/Jul/2023:18:07:30 ,POST /login/item-59 HTTP/1.1,500,14004
66.58.106.246,24/Apr/2023:15:23:07 ,PUT /perfil/item-43 HTTP/1.1,302,11811
81.24.138.193,27/May/2023:22:08:24 ,PUT /carrinho/item-8 HTTP/1.1,500,13679
30.252.35.51,10/Sep/2023:18:57:14 ,PUT /login/item-97 HTTP/1.1,302,12161
183.120.89.41,12/Apr/2023:16:25:05 ,POST /checkout/item-58 HTTP/1.1,201,10550
184.115.184.60,15/Feb/2023:01:29:32 ,GET /busca/item-64 HTTP/1.1,500,5636
64.132.247.104,01/Feb/2023:18:29:40 ,GET /produtos/item-95 HTTP/1.1,302,808
90.210.86.67,26/Sep/2023:13:27:32 ,DELETE /login/item-41 HTTP/1.1,201,10470
114.39.125.204,09/Sep/2023:05:27:39 ,DELETE /busca/item-54 HTTP/1.1,500,8836
160.73.250.18,28/Jul/2023:03:30:31 ,POST /busca/item-42 HTTP/1.1,200,4381
99.234.58.220,17/Mar/2023:00:45:59 ,POST /busca/item-94 HTTP/1.1,404,10347
55.241.208.8,21/Oct/2023:05:15:48 ,PUT /busca/item-50 HTTP/1.1,404,14132
59.193.118.227,09/Sep/2023:04:28:47 ,GET /produtos/item-37 HTTP/1.1,200,4428
44.41.122.64,06/Apr/2023:18:37:23 ,DELETE /carrinho/item-5 HTTP/1.1,404,11489
119.85.108.152,18/Sep/2023:05:22:23 ,GET /checkout/item-17 HTTP/1.1,201,14109
12.47.212.242,03/Jun/2023:22:26:44 ,POST /busca/item-24 HTTP/1.1,500,9344
205.70.26.216,02/Dec/2023:06:22:59 ,DELETE /checkout/item-20 HTTP/1.1,404,974
202.33.114.174,13/Aug/2023:18:28:35 ,DELETE /produtos/item-78 HTTP/1.1,500,2608
42.83.118.39,25/Nov/2023:01:47:29 ,GET /checkout/item-47 HTTP/1.1,500,14069
190.179.247.66,03/Jan/2023:19:43:30 ,PUT /produtos/item-55 HTTP/1.1,200,9863
213.13.223.162,22/Oct/2023:12:15:40 ,DELETE /perfil/item-69 HTTP/1.1,201,2270
97.55.238.105,12/Apr/2023:19:31:47 ,PUT /busca/item-68 HTTP/1.1,302,12213
192.212.193.162,18/Jan/2023:23:32:10 ,GET /busca/item-54 HTTP/1.1,302,8058
51.153.142.224,14/Sep/2023:23:37:26 ,GET /perfil/item-39 HTTP/1.1,201,14940
130.81.36.106,12/Dec/2023:20:18:35 ,DELETE /carrinho/item-21 HTTP/1.1,500,1541
148.35.70.115,10/Sep/2023:07:51:12 ,POST /carrinho/item-86 HTTP/1.1,302,14041
198.151.215.59,03/Dec/2023:17:22:46 ,POST /perfil/item-96 HTTP/1.1,200,6492
51.216.81.231,16/Jan/2023:08:01:18 ,PUT /busca/item-71 HTTP/1.1,201,8920
100.224.108.183,10/Mar/2023:01:53:23 ,POST /checkout/item-48 HTTP/1.1,200,10644
31.195.168.40,30/Dec/2023:02:19:42 ,GET /carrinho/item-49 HTTP/1.1,404,14022
10.160.77.248,04/Oct/2023:15:14:03 ,POST /perfil/item-78 HTTP/1.1,500,2284
188.135.101.95,04/Dec/2023:13:16:52 ,DELETE /busca/item-33 HTTP/1.1,500,2216
155.9.226.254,03/Aug/2023:06:42:11 ,GET /checkout/item-66 HTTP/1.1,500,5025
84.114.137.170,10/Mar/2023:20:16:56 ,POST /produtos/item-39 HTTP/1.1,201,3917
92.153.133.163,07/Apr/2023:08:12:21 ,GET /checkout/item-19 HTTP/1.1,302,12755
167.12.66.192,05/Nov/2023:19:36:49 ,PUT /carrinho/item-51 HTTP/1.1,302,6599
43.228.243.197,13/Nov/2023:21:43:00 ,GET /checkout/item-78 HTTP/1.1,404,9496
158.3.62.89,09/Sep/2023:17:55:06 ,GET /perfil/item-69 HTTP/1.1,500,11091
167.3.190.119,20/Feb/2023:07:42:35 ,POST /carrinho/item-87 HTTP/1.1,500,12250
54.109.129.16,19/Oct/2023:10:29:01 ,GET /produtos/item-8 HTTP/1.1,201,11877
75.248.117.147,02/Nov/2023:01:27:49 ,GET /perfil/item-59 HTTP/1.1,404,3133
6.17.74.73,11/Dec/2023:05:12:23 ,POST /busca/item-10 HTTP/1.1,200,2778
172.79.169.78,12/Oct/2023:11:19:47 ,PUT /busca/item-17 HTTP/1.1,500,10479
204.113.78.27,30/Jan/2023:03:56:24 ,DELETE /checkout/item-33 HTTP/1.1,302,3659
46.141.192.198,18/Jun/2023:08:57:07 ,PUT /carrinho/item-99 HTTP/1.1,200,1358
66.183.122.189,14/May/2023:09:00:44 ,PUT /perfil/item-88 HTTP/1.1,500,6818
99.97.55.55,14/Dec/2023:18:27:06 ,DELETE /carrinho/item-32 HTTP/1.1,500,7315
82.70.182.243,17/Nov/2023:09:17:57 ,POST /login/item-28 HTTP/1.1,201,12788
155.201.70.154,19/May/2023:13:52:27 ,GET /checkout/item-83 HTTP/1.1,200,1924
136.164.247.152,09/Dec/2023:02:03:41 ,PUT /perfil/item-26 HTTP/1.1,201,10166
145.243.98.140,12/Oct/2023:05:22:24 ,PUT /busca/item-20 HTTP/1.1,500,7242
95.169.173.36,30/Jan/2023:17:53:32 ,PUT /busca/item-94 HTTP/1.1,200,13018
24.235.12.68,17/Jun/2023:16:35:20 ,PUT /busca/item-60 HTTP/1.1,404,3485
40.114.234.66,12/May/2023:03:57:49 ,POST /checkout/item-53 HTTP/1.1,500,10824
107.113.126.79,03/Mar/2023:18:38:53 ,PUT /carrinho/item-17 HTTP/1.1,201,1093
215.142.26.221,26/Sep/2023:01:37:34 ,GET /carrinho/item-70 HTTP/1.1,404,8386
129.3.254.47,26/Jul/2023:15:51:43 ,PUT /login/item-58 HTTP/1.1,500,7726
5.200.202.143,17/Mar/2023:21:18:35 ,POST /produtos/item-83 HTTP/1.1,404,2496
216.64.71.233,23/Feb/2023:22:53:08 ,DELETE /busca/item-97 HTTP/1.1,201,1051
128.126.43.176,23/Jan/2023:14:47:51 ,PUT /checkout/item-92 HTTP/1.1,302,12308
62.35.25.81,10/Jun/2023:12:21:42 ,GET /login/item-4 HTTP/1.1,200,11123
60.251.146.65,10/Mar/2023:23:50:17 ,POST /produtos/item-10 HTTP/1.1,500,5340
186.0.110.252,05/Mar/2023:20:06:27 ,PUT /busca/item-46 HTTP/1.1,200,13160
55.79.65.244,25/Aug/2023:20:17:40 ,PUT /produtos/item-10 HTTP/1.1,404,969
178.243.243.206,23/Nov/2023:19:06:18 ,POST /carrinho/item-22 HTTP/1.1,302,14897
156.112.6.156,23/Aug/2023:10:46:04 ,DELETE /perfil/item-100 HTTP/1.1,404,876
2.65.242.211,06/Feb/2023:16:01:10 ,GET /checkout/item-15 HTTP/1.1,200,5540
145.255.117.109,24/Jan/2023:18:08:20 ,GET /perfil/item-44 HTTP/1.1,302,518
135.96.86.194,20/Apr/2023:04:15:17 ,GET /checkout/item-64 HTTP/1.1,404,13670
27.215.200.233,05/Jan/2023:05:44:55 ,PUT /perfil/item-42 HTTP/1.1,302,6259
93.80.124.129,03/Nov/2023:06:02:26 ,DELETE /carrinho/item-3 HTTP/1.1,200,2734
11.250.203.111,12/Oct/2023:11:07:14 ,GET /produtos/item-69 HTTP/1.1,500,4737
4.59.86.128,03/Jan/2023:22:55:27 ,DELETE /checkout/item-9 HTTP/1.1,201,3540
4.36.245.216,07/Mar/2023:12:18:16 ,GET /checkout/item-14 HTTP/1.1,404,4603
215.178.115.95,25/Jun/2023:13:22:15 ,GET /login/item-41 HTTP/1.1,404,4069
90.247.43.111,27/Sep/2023:00:31:24 ,GET /produtos/item-84 HTTP/1.1,302,3310
120.213.35.109,19/Dec/2023:03:09:41 ,GET /login/item-57 HTTP/1.1,201,7127
84.108.159.3,03/Nov/2023:03:26:55 ,POST /checkout/item-40 HTTP/1.1,302,11956
39.175.172.234,19/Oct/2023:02:00:27 ,POST /login/item-3 HTTP/1.1,404,5974
116.112.59.210,26/Apr/2023:06:04:42 ,DELETE /checkout/item-70 HTTP/1.1,200,14710
123.85.201.152,15/Jul/2023:21:11:09 ,PUT /carrinho/item-39 HTTP/1.1,200,9295
4.83.118.49,12/Jan/2023:20:33:35 ,POST /carrinho/item-66 HTTP/1.1,200,1707
155.253.107.91,10/Mar/2023:02:22:26 ,PUT /login/item-95 HTTP/1.1,302,12918
211.43.237.89,30/May/2023:02:24:13 ,DELETE /produtos/item-50 HTTP/1.1,404,3621
71.15.116.108,16/Apr/2023:19:29:09 ,PUT /carrinho/item-99 HTTP/1.1,500,1610
123.171.229.217,31/Oct/2023:08:12:30 ,DELETE /carrinho/item-65 HTTP/1.1,200,11945
147.58.37.100,16/Apr/2023:14:13:06 ,POST /perfil/item-48 HTTP/1.1,201,12133
46.114.39.82,09/Sep/2023:19:55:43 ,PUT /carrinho/item-11 HTTP/1.1,302,14760
206.151.178.187,28/Feb/2023:22:28:41 ,DELETE /carrinho/item-70 HTTP/1.1,302,7288
133.58.27.143,02/Dec/2023:16:51:40 ,PUT /busca/item-18 HTTP/1.1,500,2993
88.130.237.55,28/Nov/2023:13:40:53 ,DELETE /perfil/item-26 HTTP/1.1,201,1034
90.95.117.178,18/Dec/2023:04:50:18 ,DELETE /produtos/item-20 HTTP/1.1,404,12076
132.82.242.89,04/Nov/2023:17:18:13 ,POST /carrinho/item-7 HTTP/1.1,200,14014
56.57.190.64,12/Jan/2023:01:20:21 ,DELETE /login/item-20 HTTP/1.1,200,8731
73.219.238.136,25/Sep/2023:23:54:38 ,DELETE /perfil/item-29 HTTP/1.1,500,12007
205.214.18.54,12/Jun/2023:11:03:49 ,DELETE /checkout/item-83 HTTP/1.1,302,9376
121.120.245.97,30/Jul/2023:10:15:45 ,PUT /checkout/item-49 HTTP/1.1,404,1739
59.146.72.70,21/Feb/2023:15:15:39 ,POST /busca/item-90 HTTP/1.1,201,11682
209.163.123.63,25/Jan/2023:15:32:20 ,DELETE /login/item-1 HTTP/1.1,200,8079
9.164.243.11,21/May/2023:01:28:19 ,POST /carrinho/item-58 HTTP/1.1,302,1796
137.52.7.125,11/Oct/2023:17:49:55 ,DELETE /carrinho/item-69 HTTP/1.1,404,12811
112.116.215.247,16/Feb/2023:08:19:49 ,POST /login/item-31 HTTP/1.1,200,12187
1.110.159.150,13/Sep/2023:05:30:24 ,POST /produtos/item-79 HTTP/1.1,500,9851
13.9.235.27,30/Apr/2023:19:08:52 ,POST /busca/item-4 HTTP/1.1,302,12999
205.42.7.164,31/Jan/2023:03:10:00 ,DELETE /produtos/item-36 HTTP/1.1,302,4883
4.233.91.118,09/Jan/2023:05:37:22 ,POST /perfil/item-79 HTTP/1.1,200,6694
136.229.199.17,23/Jun/2023:23:45:32 ,POST /carrinho/item-28 HTTP/1.1,200,5431
81.229.198.94,26/Sep/2023:12:04:49 ,PUT /carrinho/item-49 HTTP/1.1,200,6419
143.245.135.242,30/Aug/2023:00:59:28 ,POST /checkout/item-25 HTTP/1.1,200,2678
109.213.7.186,26/Jan/2023:13:07:47 ,DELETE /busca/item-6 HTTP/1.1,302,10062
22.120.93.20,13/Aug/2023:13:19:52 ,DELETE /carrinho/item-72 HTTP/1.1,404,10584
4.62.225.76,04/Nov/2023:13:49:58 ,GET /carrinho/item-26 HTTP/1.1,200,14008
15.233.165.145,20/Dec/2023:16:09:48 ,GET /login/item-82 HTTP/1.1,201,2789
23.190.236.232,07/Sep/2023:16:45:39 ,POST /produtos/item-27 HTTP/1.1,404,956
193.117.155.155,10/Dec/2023:13:02:45 ,DELETE /perfil/item-80 HTTP/1.1,201,5976
222.5.39.139,10/Oct/2023:11:55:29 ,PUT /busca/item-2 HTTP/1.1,200,9618
95.115.52.19,07/Feb/2023:18:26:38 ,GET /produtos/item-100 HTTP/1.1,404,14463
216.102.84.57,07/Nov/2023:15:57:35 ,POST /produtos/item-99 HTTP/1.1,200,9591
146.176.201.75,17/May/2023:20:15:48 ,PUT /checkout/item-91 HTTP/1.1,500,11627
165.168.16.94,28/Jan/2023:13:03:50 ,POST /login/item-43 HTTP/1.1,500,6623
21.134.148.250,21/Dec/2023:03:13:50 ,DELETE /checkout/item-11 HTTP/1.1,302,11397
17.13.106.123,14/Feb/2023:22:41:35 ,GET /login/item-2 HTTP/1.1,302,2642
80.59.53.88,11/May/2023:21:17:13 ,PUT /carrinho/item-90 HTTP/1.1,200,4579
199.224.130.176,18/Nov/2023:14:13:23 ,POST /carrinho/item-16 HTTP/1.1,404,3320
184.198.250.186,24/Apr/2023:04:30:51 ,DELETE /checkout/item-59 HTTP/1.1,500,10756
202.197.151.81,15/Nov/2023:01:38:35 ,POST /produtos/item-26 HTTP/1.1,404,2221
177.190.20.185,01/Apr/2023:00:51:08 ,POST /checkout/item-84 HTTP/1.1,404,11518
143.70.111.115,06/Jun/2023:01:55:37 ,POST /login/item-78 HTTP/1.1,200,9458
12.69.176.225,05/Feb/2023:18:00:03 ,GET /produtos/item-42 HTTP/1.1,500,8649
73.98.13.182,19/Nov/2023:02:54:58 ,PUT /login/item-94 HTTP/1.1,500,9054
103.106.244.73,16/Aug/2023:20:04:06 ,DELETE /carrinho/item-98 HTTP/1.1,302,9145
74.29.252.130,12/Feb/2023:03:21:07 ,POST /produtos/item-95 HTTP/1.1,404,7863
15.204.199.158,01/Dec/2023:19:29:00 ,GET /perfil/item-60 HTTP/1.1,302,2345
198.128.46.107,07/Oct/2023:06:38:26 ,GET /checkout/item-23 HTTP/1.1,201,5888
52.196.64.47,17/Nov/2023:14:53:17 ,POST /checkout/item-85 HTTP/1.1,200,13077
154.234.198.222,21/Jun/2023:17:27:30 ,GET /login/item-41 HTTP/1.1,200,494
35.133.250.216,03/Jul/2023:21:02:20 ,GET /carrinho/item-85 HTTP/1.1,302,11425
183.115.178.245,24/Sep/2023:06:05:27 ,DELETE /perfil/item-88 HTTP/1.1,201,11267
154.135.141.161,07/Oct/2023:09:18:04 ,DELETE /checkout/item-7 HTTP/1.1,201,285
136.255.108.114,06/Oct/2023:22:54:21 ,POST /busca/item-18 HTTP/1.1,201,13649
119.10.80.84,25/Oct/2023:00:16:54 ,DELETE /carrinho/item-91 HTTP/1.1,200,14932
90.144.172.176,28/Dec/2023:20:55:40 ,PUT /login/item-25 HTTP/1.1,500,12622
39.34.42.15,01/Aug/2023:03:20:35 ,PUT /produtos/item-35 HTTP/1.1,302,11593
134.133.235.73,05/Jan/2023:22:49:14 ,GET /checkout/item-16 HTTP/1.1,200,1662
81.157.63.194,17/Aug/2023:15:56:34 ,PUT /busca/item-69 HTTP/1.1,200,13263
162.12.98.235,16/Jun/2023:15:06:36 ,POST /perfil/item-82 HTTP/1.1,302,5228
6.189.52.18,27/Jan/2023:09:03:59 ,POST /login/item-61 HTTP/1.1,201,9142
125.107.87.67,18/Jul/2023:04:15:41 ,DELETE /login/item-42 HTTP/1.1,500,517
197.50.11.138,16/Apr/2023:01:39:15 ,POST /perfil/item-39 HTTP/1.1,302,12048
105.204.86.37,01/Jan/2023:21:35:17 ,GET /checkout/item-4 HTTP/1.1,201,262
84.90.123.16,20/Jun/2023:22:27:40 ,GET /carrinho/item-22 HTTP/1.1,200,9257
58.4.232.134,14/Nov/2023:06:09:17 ,DELETE /login/item-75 HTTP/1.1,201,917
17.0.140.114,02/Dec/2023:14:44:55 ,DELETE /carrinho/item-68 HTTP/1.1,302,1018
17.37.249.143,27/Sep/2023:04:57:18 ,PUT /carrinho/item-40 HTTP/1.1,302,11201
24.144.20.110,17/Aug/2023:07:22:12 ,POST /login/item-42 HTTP/1.1,404,11083
206.157.131.110,18/Mar/2023:08:52:30 ,GET /perfil/item-6 HTTP/1.1,404,944
155.221.55.179,02/Jul/2023:21:33:29 ,DELETE /login/item-46 HTTP/1.1,500,3328
182.25.176.118,11/Jan/2023:00:28:43 ,GET /checkout/item-63 HTTP/1.1,200,11439
48.143.7.196,12/May/2023:13:06:07 ,DELETE /carrinho/item-9 HTTP/1.1,500,9583
140.252.240.128,02/Aug/2023:14:17:55 ,DELETE /perfil/item-70 HTTP/1.1,500,2782
8.82.152.97,19/Jun/2023:12:06:52 ,GET /checkout/item-88 HTTP/1.1,404,7053
106.81.191.167,31/May/2023:00:52:46 ,POST /busca/item-83 HTTP/1.1,500,8029
89.82.143.154,09/Feb/2023:20:35:52 ,POST /checkout/item-27 HTTP/1.1,404,9687
151.42.177.169,29/Mar/2023:22:17:09 ,GET /perfil/item-24 HTTP/1.1,404,2895
206.56.157.198,21/Feb/2023:08:18:18 ,PUT /busca/item-59 HTTP/1.1,302,1503
208.53.40.179,12/Jul/2023:04:51:59 ,PUT /carrinho/item-41 HTTP/1.1,302,14467
104.9.208.163,10/May/2023:14:30:00 ,DELETE /perfil/item-32 HTTP/1.1,500,2463
161.60.161.230,04/Jul/2023:00:20:23 ,DELETE /checkout/item-15 HTTP/1.1,201,12837
195.199.16.38,06/Sep/2023:03:24:32 ,DELETE /checkout/item-69 HTTP/1.1,500,9682
64.131.21.199,04/Jun/2023:13:50:01 ,POST /carrinho/item-63 HTTP/1.1,200,5713
212.208.145.27,14/Aug/2023:13:24:22 ,POST /perfil/item-57 HTTP/1.1,302,13337
218.71.163.93,18/Nov/2023:23:40:02 ,POST /checkout/item-22 HTTP/1.1,200,11739
177.59.49.90,14/Aug/2023:11:10:15 ,PUT /produtos/item-55 HTTP/1.1,404,14052
109.0.3.113,28/Oct/2023:03:43:05 ,PUT /carrinho/item-42 HTTP/1.1,200,4052
161.38.72.244,09/Sep/2023:07:42:01 ,DELETE /carrinho/item-11 HTTP/1.1,201,14873
80.191.160.210,28/Feb/2023:05:06:47 ,GET /busca/item-1 HTTP/1.1,404,6991
38.205.102.34,14/Apr/2023:13:59:54 ,POST /perfil/item-20 HTTP/1.1,201,14582
191.95.7.225,24/Feb/2023:12:40:16 ,POST /produtos/item-78 HTTP/1.1,201,10020
129.7.161.42,06/Mar/2023:13:23:59 ,DELETE /perfil/item-84 HTTP/1.1,500,8320
79.39.231.134,14/Dec/2023:06:35:11 ,DELETE /busca/item-44 HTTP/1.1,200,939
60.36.17.134,26/Sep/2023:15:36:36 ,POST /produtos/item-6 HTTP/1.1,302,7381
199.174.18.223,05/Mar/2023:11:04:09 ,DELETE /perfil/item-39 HTTP/1.1,500,4413
79.76.153.18,13/Oct/2023:10:33:51 ,PUT /login/item-89 HTTP/1.1,201,14510
45.107.32.151,02/Oct/2023:18:03:36 ,DELETE /produtos/item-65 HTTP/1.1,404,8485
175.6.97.180,09/Nov/2023:19:17:31 ,PUT /login/item-76 HTTP/1.1,201,11832
44.136.250.120,24/Aug/2023:22:00:16 ,DELETE /perfil/item-75 HTTP/1.1,500,10591
192.212.229.109,30/Oct/2023:18:18:45 ,PUT /produtos/item-40 HTTP/1.1,200,9752
139.9.71.52,16/Mar/2023:06:16:02 ,DELETE /busca/item-78 HTTP/1.1,302,14598
180.132.191.46,02/Oct/2023:23:00:50 ,PUT /carrinho/item-25 HTTP/1.1,500,2182
51.156.15.152,26/Jul/2023:02:25:32 ,POST /perfil/item-19 HTTP/1.1,200,13544
123.159.227.159,23/Jun/2023:07:32:32 ,DELETE /produtos/item-19 HTTP/1.1,302,10880
166.248.89.121,08/Nov/2023:12:32:28 ,POST /login/item-89 HTTP/1.1,500,12578
8.174.184.178,18/Aug/2023:20:59:38 ,POST /carrinho/item-67 HTTP/1.1,302,6762
65.209.142.166,16/Jun/2023:14:48:33 ,POST /produtos/item-68 HTTP/1.1,201,8212
55.91.104.220,11/Jul/2023:00:44:27 ,DELETE /busca/item-92 HTTP/1.1,500,4378
200.50.112.221,08/Nov/2023:19:44:16 ,POST /carrinho/item-65 HTTP/1.1,404,4377
101.183.45.230,03/Dec/2023:03:45:04 ,POST /busca/item-56 HTTP/1.1,302,14562
71.221.47.233,16/Oct/2023:17:01:03 ,DELETE /carrinho/item-40 HTTP/1.1,200,2599
214.200.193.75,10/Nov/2023:14:50:46 ,GET /carrinho/item-14 HTTP/1.1,500,11559
161.62.201.152,03/Aug/2023:22:27:14 ,GET /carrinho/item-1 HTTP/1.1,201,11076
129.202.104.45,01/Dec/2023:08:39:15 ,PUT /carrinho/item-18 HTTP/1.1,302,6805
28.53.82.36,29/Jul/2023:02:24:47 ,GET /produtos/item-67 HTTP/1.1,302,9080
170.41.252.195,02/Nov/2023:15:33:25 ,GET /login/item-60 HTTP/1.1,201,12490
190.171.225.7,25/Sep/2023:10:36:22 ,DELETE /login/item-15 HTTP/1.1,302,7351
157.223.53.15,08/Jul/2023:01:44:13 ,POST /produtos/item-24 HTTP/1.1,404,6692
87.133.112.5,28/Jul/2023:12:27:24 ,GET /checkout/item-30 HTTP/1.1,302,6856
132.248.207.151,02/May/2023:05:13:12 ,PUT /busca/item-11 HTTP/1.1,200,1712
94.38.224.214,11/May/2023:17:02:29 ,GET /carrinho/item-67 HTTP/1.1,201,10121
167.115.254.129,03/Aug/2023:11:47:31 ,DELETE /login/item-37 HTTP/1.1,201,8161
42.168.38.108,16/Dec/2023:23:01:03 ,PUT /produtos/item-39 HTTP/1.1,500,14612
154.107.110.159,26/Nov/2023:19:03:48 ,DELETE /perfil/item-39 HTTP/1.1,302,8139
73.43.172.108,12/Mar/2023:19:51:46 ,GET /checkout/item-87 HTTP/1.1,404,2548
108.11.196.70,29/Dec/2023:22:04:01 ,DELETE /perfil/item-38 HTTP/1.1,201,2663
19.124.57.148,06/Apr/2023:05:24:25 ,DELETE /busca/item-54 HTTP/1.1,200,6712
215.29.79.5,23/Oct/2023:13:55:53 ,DELETE /carrinho/item-31 HTTP/1.1,200,9848
177.91.206.147,24/Jun/2023:15:17:01 ,DELETE /checkout/item-6 HTTP/1.1,404,10092
145.19.233.149,17/Nov/2023:18:47:58 ,POST /login/item-76 HTTP/1.1,200,10447
73.48.19.77,21/Dec/2023:22:46:23 ,POST /checkout/item-49 HTTP/1.1,404,14951
